Year,DoY,DOsat,Temp,PAR,Zmix,Wind
2012,106.7986111,109.5526667,12.49526667,1.056535734,1,1.989402507
2012,106.8020833,109.5,12.50473333,0.990502251,1,2.02386184
2012,106.8055556,109.4263333,12.51,0.924468767,1,2.058321173
2012,106.8090278,109.473913,12.51,0.858435284,1,2.092780507
2012,106.8125,109.5737542,12.51737542,0.792401801,1,2.12723984
2012,106.8159722,109.5263333,12.52,0.726368317,1,2.161699173
2012,106.8194444,109.5736667,12.52,0.660334834,1,2.196158507
2012,106.8229167,109.5263333,12.51263333,0.59430135,1,2.23061784
2012,106.8263889,109.4263333,12.4879,0.528267867,1,2.265077173
2012,106.8298611,109.5473333,12.47263333,0.462234384,1,2.299536507
2012,106.8333333,109.5263333,12.4921,0.3962009,1,2.33399584
2012,106.8368056,109.4263333,12.50736667,0.3962009,1,2.27845112
2012,106.8402778,109.4,12.51,0.3962009,1,2.2229064
2012,106.84375,109.4,12.51736667,0.3962009,1,2.16736168
2012,106.8472222,109.4,12.52,0.3962009,1,2.11181696
2012,106.8506944,109.3263333,12.52,0.3962009,1,2.05627224
2012,106.8541667,109.3,12.52736667,0.3962009,1,2.00072752
2012,106.8576389,109.3,12.53,0.3962009,1,1.9451828
2012,106.8611111,109.3,12.52263333,0.3962009,1,1.88963808
2012,106.8645833,109.226087,12.52,0.3962009,1,1.83409336
2012,106.8680556,109.2,12.51262458,0.3962009,1,1.77854864
2012,106.8715278,109.2,12.51736667,0.3962009,1,1.72300392
2012,106.875,109.2,12.52736667,0.3962009,1,1.6674592
2012,106.8784722,109.1263333,12.52263333,0.363184159,1,1.551936613
2012,106.8819444,109.1736667,12.52,0.330167417,1,1.436414027
2012,106.8854167,109.0526667,12.52736667,0.297150675,1,1.32089144
2012,106.8888889,109.0736667,12.52263333,0.264133934,1,1.205368853
2012,106.8923611,109.0263333,12.52736667,0.231117192,1,1.089846267
2012,106.8958333,108.9265781,12.48594684,0.19810045,1,0.97432368
2012,106.8993056,109.0471572,12.5067893,0.165083708,1,0.858801093
2012,106.9027778,108.9526667,12.52,0.132066967,1,0.743278507
2012,106.90625,108.8263333,12.52736667,0.099050225,1,0.62775592
2012,106.9097222,108.8,12.52263333,0.066033483,1,0.512233333
2012,106.9131944,108.8,12.52,0.033016742,1,0.396710747
2012,106.9166667,108.7263333,12.52,0,1,0.28118816
2012,106.9201389,108.7,12.52,0,1,0.400026293
2012,106.9236111,108.7,12.52,0,1,0.518864427
2012,106.9270833,108.5528428,12.49056856,0,1,0.63770256
2012,106.9305556,108.6473333,12.48736667,0,1,0.756540693
2012,106.9340278,108.5526667,12.4458,0,1,0.875378827
2012,106.9375,108.5,12.46683333,0,1,0.99421696
2012,106.9409722,108.4263333,12.49473333,0,1,1.113055093
2012,106.9444444,108.5473333,12.50736667,0,1,1.231893227
2012,106.9479167,108.4526667,12.51,0,1,1.35073136
2012,106.9513889,108.3263333,12.4879,0,1,1.469569493
2012,106.9548611,108.3,12.48,0,1,1.588407627
2012,106.9583333,108.2263333,12.47263333,0,1,1.70724576
2012,106.9618056,108.2,12.46263333,0,0.750159872,1.858159013
2012,106.9652778,108.1263333,12.44526667,0,0.750079936,2.009072267
2012,106.96875,108.1,12.42526667,0,0.75,2.15998552
2012,106.9722222,108.0263333,12.41263333,0,1,2.310898773
2012,106.9756944,107.9263333,12.40263333,0,1,2.461812027
2012,106.9791667,107.9,12.38526667,0,1,2.61272528
2012,106.9826389,107.8263333,12.37263333,0,1,2.763638533
2012,106.9861111,107.6526667,12.37,0,1,2.914551787
2012,106.9895833,107.6,12.37736667,0,1,3.06546504
2012,106.9930556,107.6,12.37263333,0,1,3.216378293
2012,106.9965278,107.5263333,12.37,0,0.750079936,3.367291547
2012,107,107.5,12.37,0,1,3.5182048
2012,107.0034722,107.5,12.37,0.099050225,1,3.5517328
2012,107.0069444,107.4263333,12.36263333,0.19810045,1,3.5852608
2012,107.0104167,107.4,12.36,0.297150675,1,3.6187888
2012,107.0138889,107.3263333,12.36,0.3962009,1,3.6523168
2012,107.0173611,107.3736667,12.35263333,0.495251125,1,3.6858448
2012,107.0208333,107.3263333,12.33526667,0.59430135,1,3.7193728
2012,107.0243056,107.2263333,12.33,0.693351575,1,3.7529008
2012,107.0277778,107.1263333,12.3079,0.792401801,1,3.7864288
2012,107.03125,107.1736667,12.28526667,0.891452026,1,3.8199568
2012,107.0347222,107.0526667,12.28,0.990502251,1,3.8534848
2012,107.0381944,106.8526667,12.26526667,1.089552476,1,3.8870128
2012,107.0416667,106.7263333,12.2379,1.188602701,1,3.9205408
2012,107.0451389,106.7,12.21526667,1.089552476,1,3.617261413
2012,107.0486111,106.7,12.19526667,0.990502251,1,3.313982027
2012,107.0520833,106.7,12.17526667,0.891452026,1,3.01070264
2012,107.0555556,106.7,12.15531561,0.792401801,1,2.707423253
2012,107.0590278,106.7,12.14266667,0.693351575,1,2.404143867
2012,107.0625,106.7,12.13264214,0.59430135,1,2.10086448
2012,107.0659722,106.6263333,12.11526667,0.495251125,1,1.797585093
2012,107.0694444,106.4526667,12.09526667,0.3962009,1.25,1.494305707
2012,107.0729167,106.3263333,12.09,0.297150675,1.000119904,1.19102632
2012,107.0763889,106.3,12.08263333,0.19810045,1,0.887746933
2012,107.0798611,106.3736667,12.08,0.099050225,1,0.584467547
2012,107.0833333,106.4,12.08736667,0,1,0.28118816
2012,107.0868056,106.3263333,12.09,0.115759918,1,0.28118816
2012,107.0902778,106.3,12.09,0.231519835,1,0.28118816
2012,107.09375,106.2263333,12.08263333,0.347279753,1,0.28118816
2012,107.0972222,106.1263333,12.08736667,0.46303967,1.25,0.28118816
2012,107.1006944,106.0263333,12.07526667,0.578799588,1.25,0.28118816
2012,107.1041667,106,12.07,0.694559505,1,0.28118816
2012,107.1076389,105.779,12.07,0.810319423,1,0.28118816
