DateTime	uSt(mm/s)	wSt(mm/s)	k(w,u)600(m/day)	k(w)_600(m/day)
2011-07-26 00:00	1.5049	8.8881	0.71258	0.61003
2011-07-26 06:00	2.7115	7.2603	1.0693	0.52411
2011-07-26 12:00	3.8731	0	1.4872	0
2011-07-26 18:00	1.1822	6.7253	0.58867	0.5225
2011-07-27 00:00	2.4886	8.5811	1.0009	0.59407
2011-07-27 06:00	5.2078	8.5719	1.9561	0.59484
2011-07-27 12:00	4.0653	5.2309	1.5592	0.41119
2011-07-27 18:00	2.0071	5.1557	0.79668	0.40699
2011-07-28 00:00	2.6402	5.8129	1.0339	0.42564
2011-07-28 06:00	2.2877	4.0384	0.89573	0.3385
2011-07-28 12:00	3.4758	0	1.3414	0
2011-07-28 18:00	2.2985	4.4812	0.90533	0.41436
2011-07-29 00:00	3.3641	7.3649	1.3109	0.56002
2011-07-29 06:00	1.3103	3.4976	0.52699	0.30312
2011-07-29 12:00	4.6772	0	1.7723	0
2011-07-29 18:00	1.9524	5.097	0.77928	0.42439
2011-07-30 00:00	1.3732	7.4919	0.63768	0.53602
2011-07-30 06:00	2.0486	3.7751	0.80393	0.32086
2011-07-30 12:00	5.5087	5.8055	2.0497	0.44304
2011-07-30 18:00	3.0802	6.4405	1.201	0.47894
2011-07-31 00:00	2.0361	7.6071	0.83422	0.54293
2011-07-31 06:00	2.0252	3.9601	0.79586	0.33271
2011-07-31 12:00	2.6422	0	1.0271	0
2011-07-31 18:00	2.2283	5.9363	0.88709	0.47563
2011-08-01 00:00	1.2737	7.8946	0.63019	0.55721
2011-08-01 06:00	1.4208	4.4828	0.57926	0.36485
2011-08-01 12:00	1.7062	0	0.66602	0
2011-08-01 18:00	1.7252	4.1744	0.68486	0.34606
2011-08-02 00:00	3.3845	6.5951	1.3127	0.46634
2011-08-02 06:00	4.9402	7.5585	1.8654	0.51706
2011-08-02 12:00	3.1889	5.791	1.2386	0.42377
2011-08-02 18:00	3.4282	5.6481	1.3271	0.41616
2011-08-03 00:00	1.9405	7.2984	0.79186	0.50458
2011-08-03 06:00	2.8204	5.04	1.0999	0.39946
2011-08-03 12:00	4.3417	0	1.6556	0
2011-08-03 18:00	2.2336	6.9845	0.90055	0.53861
2011-08-04 00:00	1.9397	8.6603	0.82212	0.5994
2011-08-04 06:00	1.6742	6.33	0.69466	0.47366
2011-08-04 12:00	3.0579	0	1.185	0
2011-08-04 18:00	1.4887	5.8147	0.63514	0.46908
2011-08-05 00:00	1.057	7.2617	0.56902	0.52454
2011-08-05 06:00	1.0581	4.1226	0.46433	0.36235
2011-08-05 12:00	2.9439	0	1.1418	0
2011-08-05 18:00	1.3078	4.5187	0.57982	0.46022
2011-08-06 00:00	1.4774	6.2662	0.66106	0.53196
2011-08-06 06:00	0.85834	4.3696	0.44676	0.40598
2011-08-06 12:00	1.9532	0	0.76188	0
2011-08-06 18:00	1.7212	5.8895	0.70963	0.47251
2011-08-07 00:00	3.2578	7.4053	1.2699	0.53146
2011-08-07 06:00	3.0001	6.755	1.1726	0.49632
2011-08-07 12:00	4.4624	0	1.6978	0
2011-08-07 18:00	3.3304	7.6983	1.2976	0.54744
2011-08-08 00:00	1.4374	8.6115	0.6725	0.56945
2011-08-08 06:00	2.9251	7.4318	1.1462	0.50995
2011-08-08 12:00	3.4188	0	1.3202	0
2011-08-08 18:00	2.1596	6.7812	0.86246	0.47609
2011-08-09 00:00	3.2606	9.094	1.2765	0.59407
2011-08-09 06:00	4.6517	8.6987	1.7694	0.57535
2011-08-09 12:00	8.7424	4.398	2.8759	0.34538
2011-08-09 18:00	6.8974	9.9149	2.4629	0.63634
2011-08-10 00:00	4.2406	10.421	1.6318	0.66166
2011-08-10 06:00	5.0682	9.387	1.9125	0.61229
2011-08-10 12:00	6.3781	0	2.3177	0
2011-08-10 18:00	3.0964	8.4588	1.2145	0.56662
2011-08-11 00:00	2.2157	8.6693	0.90372	0.57749
2011-08-11 06:00	2.1367	6.1527	0.84958	0.44616
2011-08-11 12:00	3.6676	0	1.4128	0
2011-08-11 18:00	1.4757	6.3051	0.6252	0.45379
2011-08-12 00:00	2.1509	8.0367	0.87358	0.54494
2011-08-12 06:00	2.313	6.6787	0.91778	0.47441
2011-08-12 12:00	3.124	0	1.2102	0
2011-08-12 18:00	2.5115	7.667	0.99713	0.52596
2011-08-13 00:00	1.2587	8.287	0.61342	0.53686
2011-08-13 06:00	1.3096	6.8186	0.58205	0.4637
2011-08-13 12:00	5.9256	0	2.1828	0
2011-08-13 18:00	3.8239	7.8733	1.4768	0.53678
2011-08-14 00:00	2.5223	9.3538	1.0116	0.58829
2011-08-14 06:00	2.3759	7.4752	0.94382	0.4969
2011-08-14 12:00	3.343	0	1.2924	0
2011-08-14 18:00	1.1698	4.9365	0.5387	0.44875
2011-08-15 00:00	1.3169	7.5196	0.62878	0.5419
2011-08-15 06:00	1.2881	4.9927	0.54674	0.39845
2011-08-15 12:00	3.7057	0	1.4266	0
2011-08-15 18:00	2.3154	5.7144	0.92234	0.49963
2011-08-16 00:00	1.6559	6.6851	0.70692	0.52334
2011-08-16 06:00	1.6423	4.634	0.6594	0.37603
2011-08-16 12:00	5.1585	0	1.9363	0
2011-08-16 18:00	1.9031	6.8944	0.77966	0.50606
2011-08-17 00:00	3.0791	8.2178	1.2066	0.55212
2011-08-17 06:00	3.7308	7.0048	1.4407	0.48994
2011-08-17 12:00	6.2933	0	2.2906	0
2011-08-17 18:00	3.623	9.1047	1.4076	0.59628
2011-08-18 00:00	1.2618	9.0245	0.65378	0.59294
2011-08-18 06:00	2.9974	7.813	1.1749	0.53222
2011-08-18 12:00	6.6603	0	2.3949	0
2011-08-18 18:00	2.4612	7.8288	0.97994	0.53225
2011-08-19 00:00	2.2078	8.4129	0.89717	0.5623
2011-08-19 06:00	5.0241	8.6297	1.8961	0.57372
2011-08-19 12:00	6.72	0	2.4127	0
2011-08-19 18:00	4.3357	9.191	1.6616	0.60168
2011-08-20 00:00	4.5203	10.392	1.7275	0.6353
2011-08-20 06:00	3.2056	8.6667	1.2531	0.55464
2011-08-20 12:00	6.3777	0	2.3171	0
2011-08-20 18:00	2.3258	8.7453	0.93698	0.55862
2011-08-21 00:00	3.8434	10.565	1.4907	0.6445
2011-08-21 06:00	5.3023	9.5913	1.9897	0.59969
2011-08-21 12:00	6.5395	4.3425	2.3651	0.33106
2011-08-21 18:00	1.9546	9.173	0.81967	0.58025
2011-08-22 00:00	1.2807	9.222	0.64982	0.5831
2011-08-22 06:00	1.5032	7.2774	0.6474	0.48823
2011-08-22 12:00	4.7705	0	1.8071	0
2011-08-22 18:00	1.5954	7.7759	0.68477	0.51298
2011-08-23 00:00	1.7008	8.5373	0.73152	0.55066
2011-08-23 06:00	4.5003	6.8452	1.7158	0.46692
2011-08-23 12:00	2.9968	0	1.1624	0
2011-08-23 18:00	2.2456	6.9663	0.89318	0.47335
2011-08-24 00:00	3.0239	6.4878	1.1789	0.44892
2011-08-24 06:00	5.7769	4.9192	2.1397	0.36482
2011-08-24 12:00	9.1988	0	2.9736	0
2011-08-24 18:00	8.2068	9.184	2.7862	0.58327
2011-08-25 00:00	4.8111	9.2988	1.827	0.58927
2011-08-25 06:00	2.5688	7.4532	1.0145	0.4987
2011-08-25 12:00	3.9793	0	1.5274	0
2011-08-25 18:00	1.1656	6.4423	0.57905	0.51319
2011-08-26 00:00	1.3631	8.1964	0.63492	0.53527
2011-08-26 06:00	2.5482	6.7719	1.0032	0.46418
2011-08-26 12:00	6.2075	0	2.2711	0
2011-08-26 18:00	2.725	6.7291	1.0685	0.46166
2011-08-27 00:00	2.6278	9.2269	1.0484	0.58529
2011-08-27 06:00	2.1184	7.5659	0.8532	0.5041
2011-08-27 12:00	3.7105	0	1.4291	0
2011-08-27 18:00	2.6036	8.6748	1.0388	0.57996
2011-08-28 00:00	1.5034	8.5784	0.67942	0.55402
